,Unnamed: 0,Country,Country Code,Series,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2020 [YR2020]
50,50,Barbados,BRB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
51,51,Belarus,BLR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
52,52,Belarus,BLR,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
53,53,Belarus,BLR,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
54,54,Belgium,BEL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,515.272276873881,,,514.5292447273571,,,,
55,55,Belgium,BEL,PISA: Mean performance on the reading scale,LO.PISA.REA,,505.945796158684,,,508.617876321039,,,,
56,56,Belgium,BEL,PISA: Mean performance on the science scale,LO.PISA.SCI,,506.575526260289,,,504.86765304656194,,,,
57,57,Belize,BLZ,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
58,58,Belize,BLZ,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
59,59,Belize,BLZ,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
60,60,Benin,BEN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
61,61,Benin,BEN,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
62,62,Benin,BEN,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
63,63,Bermuda,BMU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
64,64,Bermuda,BMU,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
65,65,Bermuda,BMU,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
66,66,Bhutan,BTN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
67,67,Bhutan,BTN,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
68,68,Bhutan,BTN,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
69,69,Bolivia,BOL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
70,70,Bolivia,BOL,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
71,71,Bolivia,BOL,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
72,72,Bosnia and Herzegovina,BIH,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
73,73,Bosnia and Herzegovina,BIH,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
74,74,Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
75,75,Botswana,BWA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
76,76,Botswana,BWA,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
77,77,Botswana,BWA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
78,78,Brazil,BRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,385.814111985143,,,391.459888954175,,,,
